tx,ty,tz,tx gt,ty gt,tz gt
-3.700534740930444,1.7530366209272201,-2.593786821408635,-4.1569215045,1.7026497168,-2.3881984091
-3.784916922289112,1.7579892987024606,-2.633474613984611,-4.2449678031,1.7091442528,-2.4317242631
-3.9143761078201873,1.8595170490888697,-2.657138247940005,-4.3653075599,1.8181153756,-2.4497839826
-3.8680817065306647,1.8987177456979196,-2.6034929493249535,-4.3242303968,1.8556018072,-2.4027385361
-3.825753143950099,1.9382905610035461,-2.542903433566023,-4.2786721966,1.8972730952,-2.3402547253
-3.7952617274626372,1.9791095285979594,-2.480711529133639,-4.2471679203,1.9402093231,-2.2761301411
-3.776559989873637,2.0080305955341653,-2.4033996651456264,-4.2273133003,1.9700833894,-2.1972124092
-3.7601070614983003,2.0226330855872954,-2.342351526319317,-4.2102124561,1.9865195975,-2.1334457126
-3.732579748810331,2.05720157588432,-2.268391521853535,-4.1827722895,2.0221547395,-2.0608906432
-3.7057482051690713,2.094964355660831,-2.191162286944266,-4.1597158072,2.056153909,-1.9924435459
-3.676960950946793,2.123008754029249,-2.1169289704920056,-4.1229062749,2.0935275861,-1.9008738014
-3.646139348956671,2.1340046742086836,-2.0525444400881883,-4.0915206505,2.1053111689,-1.8360697741
-3.6015139345659417,2.176176643574391,-1.9828456427709429,-4.0439474029,2.1503755636,-1.7630649167
-3.552095009888081,2.2257710457981723,-1.9173688123095527,-3.9913065167,2.2042151047,-1.6935877495
-3.4573353533616955,2.3208059207388145,-1.8090255359634009,-3.8925724362,2.304384648,-1.5819773157
-3.380375569104712,2.3878523855860396,-1.7478647197877568,-3.8137993484,2.3723124323,-1.5184931352
-3.2654795342504297,2.455451567765023,-1.6717715327586578,-3.6916307902,2.4449345136,-1.43978708
-3.142795730943403,2.521174478670027,-1.6049904393183096,-3.5674909265,2.5115610761,-1.3721777252
-3.0206572557409106,2.5842214349573664,-1.5463959246877088,-3.4368580625,2.5777362175,-1.3097097672
-2.896376192040081,2.66000426561566,-1.4892926877908985,-3.3150910796,2.6530841995,-1.2552581663
-2.79889509922057,2.714500342374462,-1.44954464116352,-3.2102361331,2.7104439493,-1.2107516272
-2.692513609454199,2.7600085048285505,-1.3992015107065054,-3.1027099827,2.7562750383,-1.1589539241
-2.580225101553202,2.791338874956897,-1.3247837071501216,-2.9839535611,2.787345115,-1.0790847206
-2.4690102639033142,2.8178554151932396,-1.242180846451776,-2.8731796624,2.8151895591,-0.9969727672
